3;YN;765;02;;Versement au profit du budget général correspondant aux montants des remboursements et dégrèvements au titre de la TICFE;3;YC;731;06;;Versements au profit du Mécanisme européen de stabilité;14.041311597838375
3;YN;765;03;;Versements au profit de la CDC correspondant à des remboursements partiels de CSPE;1;RD;;;;Remboursements et dégrèvements;12.987181436241045
4;ZF;867;01;;Soutien à la filière nickel en Nouvelle-Calédonie;1;TA;345;03;;Soutien à la cogénération;9.879225039318074
1;AA;185;01;02;Animation du réseau en administration centrale;1;TA;217;03;10;Fonctionnement courant de l'administration centrale;8.760351294173676
1;AA;185;01;03;Appui général au réseau;1;VA;135;05;;Soutien;7.24625414052415
1;AA;185;04;01;Attractivité et enseignement supérieur;1;RA;;;;Recherche et enseignement supérieur;4.585789383815168
1;AA;185;04;02;Recherche scientifique;1;RA;186;01;12;Recherche pluridisciplinaire;4.547487252397092
1;AC;149;11;11;ONF – Versement Compensateur;1;AC;149;26;03;ONF - Autres subventions;7.621590396543076
1;AC;149;11;14;Défense des forêts contre les incendies (DFCI) cofinancée;1;AC;149;26;04;Défense des forêts contre les incendies (DFCI);4.4528870977738055
1;AC;149;11;15;Restauration des terrains en montagne (RTM) cofinancée;1;AC;149;26;05;Restauration des terrains en montagne (RTM);4.4528870977738055
1;AC;149;11;16;Défense des forêts contre les incendies (DFCI)  non cofinancée;1;AC;149;26;04;Défense des forêts contre les incendies (DFCI);5.717539666708984
1;AC;149;11;17;Restauration des terrains en montagne (RTM) non cofinancée;1;AC;149;26;05;Restauration des terrains en montagne (RTM);5.717539666708984
1;AC;149;12;22;Chablis Klaus;1;AC;149;26;08;Chablis;4.945163170125708
1;AC;149;12;26;Soutiens aux organismes, études, recherche;1;OA;138;01;;Soutien aux entreprises;7.732584040104925
1;AC;149;13;31;Investissements forestiers et filière bois;1;CA;126;02;03;Investissement;8.28868225415829
1;AC;149;13;32;Animation, études, recherche et innovation;1;RA;172;01;35;Animation scientifique;7.747519602363389
1;AC;154;11;01;Prime nationale supplémentaire à la vache allaitante (PNSVA);1;SB;207;02;01;Communication nationale;9.830658872895846
1;AC;154;11;02;Fonds pour les investissements stratégiques des industries agro-alimentaires;1;OA;123;08;;Fonds exceptionnel d'investissement;11.004994007946326
1;AC;154;11;06;Politique de la qualité;1;PA;147;;;Politique de la ville;4.960386767743106
1;AC;154;11;07;Prêts spéciaux d'élevage et prêts aux productions végétales spéciales (PSE et PPVS);1;DC;129;02;02;Fonds spéciaux;13.485260019505931
1;AC;154;11;08;Offices : intervention;1;TA;174;04;04;FIBM;6.046721905465205
1;AC;154;12;03;Assurance récolte;1;EB;114;04;02;Assurance-prospection;4.860147347430637
1;AC;154;13;05;Prêts de modernisation;1;AC;149;22;02;Prêts de crise;4.631494730668237
1;AC;154;13;08;Autres aides à la modernisation des exploitations agricoles;1;AC;149;24;05;Appui à la restructuration foncière des exploitations agricoles;9.298964343444716
1;AC;154;13;09;Plan de relance - Autres aides à la modernisation des exploitations agricoles;1;AC;149;23;09;Plan de relance - Autres aides à la modernisation des exploitations agricole;2.931680800582821
1;AC;154;14;08;Mesures agro-environnementales régionales;1;PA;147;03;36;Mesures expérimentales;8.564425055828714
1;AC;154;14;10;Aides à la diversification des cultures dans l'assolement;1;AC;149;24;10;Aides à la diversification des cultures dans l'assolemen;4.30711974291843
1;AC;154;14;16;Règlementation et sécurité au travail;1;AC;149;25;16;Réglementation et sécurité au travail;1.4148728730766
1;AC;154;14;18;Actions en faveur du cheval menées au niveau local (hors CPER);1;AC;149;24;04;Actions en faveur du cheval menées au niveau national;8.479780409020737
1;AC;154;14;19;Actions en faveur du cheval menées au niveau local (CPER);1;AC;149;24;04;Actions en faveur du cheval menées au niveau national;7.3272935217330755
1;AC;154;15;02;Fonctionnement de l'ASP, de l'ODARC et des ADASEA;1;CA;126;02;;Fonctionnement de l'institution;12.985157619144099
1;AC;154;15;03;Institut national des appellations d'origine (INAO) et Agence bio;1;AC;149;27;05;Institut national des appellations d'origine (INAO);6.820463437696205
1;AC;154;15;04;Offices : fonctionnement;1;TA;174;04;04;FIBM;6.2214668844433545
